Date,Close,High,Low,Open,Volume
2009-08-20,20.02,22.0,19.66,21.6,821641280
2009-08-21,20.63,20.78,19.6,19.98,168589200
2009-08-24,20.62,20.88,20.31,20.78,68326410
2009-08-25,20.55,20.63,20.2,20.5,58601335
2009-08-26,21.02,21.5,20.57,20.6,85794190
2009-08-27,20.95,21.36,20.75,20.99,37614795
2009-08-28,20.93,21.14,20.76,20.98,22830910
2009-08-31,20.64,20.94,20.51,20.55,26594260
2009-09-01,20.2,20.86,20.08,20.65,21715045
2009-09-02,20.29,20.53,20.02,20.06,31429665
2009-09-03,20.02,20.46,19.95,20.4,8390690
2009-09-04,19.73,20.15,19.46,20.05,16813920
2009-09-07,20.18,20.23,19.82,19.96,14223935
2009-09-08,20.25,20.52,20.03,20.21,14043540
2009-09-09,20.64,20.9,19.82,19.82,31496365
2009-09-10,20.48,20.99,20.38,20.87,26765390
2009-09-11,20.65,20.7,20.36,20.63,11086175
2009-09-14,20.36,20.62,20.25,20.56,9163590
2009-09-15,20.31,20.47,20.26,20.42,8464210
2009-09-16,20.19,20.52,20.11,20.35,16399780
2009-09-17,20.18,20.38,20.04,20.32,7888795
2009-09-18,20.19,20.29,20.04,20.22,8219735
2009-09-22,20.29,20.36,20.0,20.2,7572905
2009-09-23,20.27,20.4,20.08,20.3,14320305
2009-09-24,20.08,20.3,19.66,19.71,21591640
2009-09-25,20.17,20.2,20.02,20.18,10457270
2009-09-29,20.34,20.39,20.1,20.17,9057760
2009-09-30,20.38,20.44,20.23,20.34,7342615
2009-10-01,20.41,20.54,20.28,20.4,6086590
2009-10-05,20.16,20.4,20.08,20.2,3930940
2009-10-06,20.2,20.33,20.01,20.1,3263965
2009-10-07,20.17,20.32,20.1,20.16,3826610
2009-10-08,20.29,20.98,20.1,20.2,8541130
2009-10-09,20.25,20.49,20.12,20.4,3654130
2009-10-12,20.39,20.79,20.15,20.24,6644575
2009-10-13,20.32,20.32,20.32,20.32,0
2009-10-14,20.36,20.66,20.26,20.32,5449085
2009-10-15,20.02,20.56,20.0,20.51,5846145
2009-10-16,20.06,20.3,20.01,20.16,6710920
2009-10-20,20.06,20.3,19.97,20.29,5047885
