Date,Close,High,Low,Open,Volume
2024-01-17,7.1,7.2,6.15,7.2,3220424
2024-01-19,6.25,6.6,6.2,6.35,2310533
2024-01-23,6.2,6.55,6.15,6.3,1076212
2024-01-24,6.25,6.3,6.2,6.25,674329
2024-01-25,6.2,6.35,6.15,6.3,925304
2024-01-29,6.25,6.35,6.2,6.25,1674202
2024-01-30,6.25,6.3,6.2,6.3,740450
2024-01-31,6.3,6.3,6.2,6.3,803154
2024-02-01,6.27,6.39,6.21,6.3,744161
2024-02-02,6.32,6.38,6.27,6.28,1218409
2024-02-05,6.23,6.9,6.21,6.33,3527274
2024-02-06,6.24,6.35,6.22,6.3,2407249
2024-02-07,6.25,6.35,6.23,6.24,1190433
2024-02-08,6.22,6.35,6.21,6.25,1060894
2024-02-09,6.24,6.34,6.22,6.34,857010
2024-02-12,6.21,6.42,6.2,6.24,1484780
2024-02-13,6.22,6.29,6.0,6.21,785822
2024-02-14,6.14,6.26,6.12,6.23,840301
2024-02-15,6.13,6.21,6.11,6.21,1660868
2024-02-16,6.17,6.24,6.13,6.13,801705
2024-02-19,6.21,6.34,6.17,6.18,1049370
2024-02-20,6.19,6.34,6.17,6.21,629386
2024-02-21,6.2,6.27,6.19,6.19,1778125
2024-02-22,6.2,6.25,6.18,6.21,604906
2024-02-23,6.16,6.34,6.16,6.2,712312
2024-02-26,6.19,6.22,6.11,6.16,868541
2024-02-27,6.2,6.29,6.19,6.2,623489
2024-02-28,6.18,6.21,6.11,6.2,1293443
2024-02-29,6.21,6.3,6.18,6.18,769739
2024-03-01,6.22,6.33,6.17,6.21,799714
2024-03-04,6.32,6.42,6.28,6.3,1850862
2024-03-05,6.42,6.61,6.3,6.33,2196606
2024-03-06,6.44,6.65,6.4,6.42,1676625
2024-03-07,6.51,6.64,6.45,6.46,3303128
2024-03-11,6.58,7.0,6.51,6.51,3793492
2024-03-12,6.56,6.9,6.53,6.68,2152188
2024-03-13,6.5,6.84,6.4,6.84,2091871
2024-03-14,6.53,6.7,6.27,6.5,2481571
2024-03-15,6.53,6.75,6.53,6.53,966081
2024-03-18,6.51,6.69,6.45,6.53,807064
2024-03-19,6.52,6.69,6.51,6.51,744449
2024-03-20,6.51,6.6,6.51,6.52,1639836
2024-03-21,6.65,6.76,6.51,6.51,1496415
2024-03-22,6.58,6.89,6.56,6.65,1074212
2024-03-26,6.59,6.63,6.3,6.58,705756
2024-03-27,6.59,6.64,6.34,6.59,595939
2024-03-28,6.64,6.66,6.6,6.6,825608
2024-04-01,6.84,6.99,6.6,6.64,2070013
2024-04-02,6.85,7.19,6.82,7.18,3621265
2024-04-03,6.91,7.03,6.85,6.85,3309394
2024-04-04,6.94,7.19,6.67,6.91,3176763
2024-04-05,6.92,7.19,6.8,6.94,2196183
2024-04-08,7.06,7.14,6.92,6.92,3565357
2024-04-09,7.15,7.5,7.06,7.06,6165294
2024-04-10,7.12,7.29,7.12,7.15,5099570
2024-04-12,7.24,7.39,7.13,7.13,4969368
2024-04-15,7.2,7.44,7.16,7.28,6115031
2024-04-16,7.25,7.3,7.21,7.21,3673682
2024-04-18,7.27,7.32,7.07,7.25,7181849
2024-04-19,7.28,7.37,7.23,7.27,2930442
2024-04-22,7.24,7.34,7.22,7.28,3427986
2024-04-23,7.09,7.24,6.91,7.24,3027605
2024-04-24,7.16,7.19,7.09,7.09,3384796
2024-04-25,7.15,7.66,7.11,7.66,3010955
2024-04-26,7.19,7.21,7.1,7.19,1820617
2024-04-29,7.17,7.4,7.15,7.35,3071715
2024-04-30,7.15,7.23,7.14,7.17,2217702
