Date,Close,High,Low,Open,Volume
2004-01-01,33.55,34.1,33.35,34.1,57015472
2004-01-02,34.41,34.63,33.55,33.78,113656354
2004-01-05,34.11,34.68,33.63,34.4,85438299
2004-01-06,33.66,34.6,33.16,34.16,81160289
2004-01-07,34.11,34.25,33.34,33.53,83254466
2004-01-08,34.7,35.15,34.29,34.4,74777472
2004-01-09,34.02,35.61,33.82,35.28,122696325
2004-01-12,33.59,34.33,33.41,33.98,78266908
2004-01-13,34.54,34.66,33.65,33.71,82240687
2004-01-14,35.1,35.22,34.69,34.69,71562438
2004-01-15,33.99,35.63,33.78,35.48,94167303
2004-01-16,34.17,34.5,33.63,34.4,112840401
2004-01-19,34.38,34.63,33.46,34.17,78038244
2004-01-20,33.78,35.15,33.53,34.63,84740222
2004-01-21,32.51,34.08,32.2,33.59,90635839
2004-01-22,31.47,33.8,31.0,32.51,143108982
2004-01-23,32.8,33.0,31.27,31.69,130190728
2004-01-26,32.8,32.8,32.8,32.8,0
2004-01-27,34.14,34.3,32.95,33.05,99040724
2004-01-28,33.85,34.65,33.49,34.57,117000341
2004-01-29,33.6,34.45,33.24,34.16,207142637
2004-01-30,32.96,34.07,32.81,33.66,86396915
2004-02-02,32.96,32.96,32.96,32.96,0
2004-02-03,32.56,33.21,32.27,33.04,96821782
2004-02-04,33.6,33.81,32.31,32.65,103232089
2004-02-05,33.2,34.01,32.89,33.78,101116472
2004-02-06,33.83,33.93,33.17,33.44,91705860
2004-02-09,34.61,34.69,34.01,34.01,69893883
2004-02-10,34.88,35.18,34.43,34.81,123921417
2004-02-11,34.53,36.45,34.17,36.45,86968029
2004-02-12,34.55,34.98,34.34,34.7,82921203
2004-02-13,35.01,35.13,34.34,34.46,65429166
2004-02-16,34.86,35.4,34.7,35.16,79718871
2004-02-17,35.2,35.57,34.69,34.81,129142680
2004-02-18,35.56,35.9,35.29,35.39,158050718
2004-02-19,34.24,35.81,34.11,35.58,116966506
2004-02-20,34.54,34.98,34.13,34.17,140573064
2004-02-23,33.24,34.93,32.93,34.63,131518794
2004-02-24,33.26,33.43,32.34,32.66,175812789
2004-02-25,32.64,33.51,32.47,33.51,97507816
2004-02-26,31.89,33.18,31.69,32.57,146810711
2004-02-27,32.61,32.73,32.04,32.08,115704849
2004-03-01,33.36,33.48,32.71,33.46,87320408
2004-03-02,33.36,33.36,33.36,33.36,0
2004-03-03,34.15,34.33,33.34,33.46,119271800
2004-03-04,33.73,34.34,33.55,33.98,59517947
2004-03-05,34.46,34.54,33.57,33.57,57935295
2004-03-08,35.03,35.22,34.54,34.57,68029504
2004-03-09,34.36,35.28,34.01,35.28,63969584
2004-03-10,33.73,34.22,33.53,34.16,57012251
2004-03-11,33.27,33.98,33.1,33.63,78134847
2004-03-12,33.08,33.46,32.64,33.19,75771967
2004-03-15,32.05,33.5,31.75,33.34,92765349
2004-03-16,31.86,32.62,31.49,31.75,119208906
2004-03-17,31.77,32.46,31.47,32.04,112189995
2004-03-18,30.52,31.99,30.3,31.87,156637254
