Date,Close,High,Low,Open,Volume
2015-01-01,190.0,190.88,189.09,189.66,2963643.0
2015-01-02,189.5,191.74,189.23,190.04,7331366.0
2015-01-05,187.42,190.64,187.05,189.38,10103941.0
2015-01-06,178.92,186.81,178.04,186.17,18627980.0
2015-01-07,182.81,183.77,179.11,179.13,20720312.0
2015-01-08,180.19,184.65,179.78,184.05,19872227.0
2015-01-09,184.09,184.46,180.82,181.55,13392787.0
2015-01-12,181.95,184.24,180.09,184.14,10100113.0
2015-01-13,180.42,182.95,179.86,182.53,9948711.0
2015-01-14,178.67,181.25,177.87,180.39,11380041.0
2015-01-15,184.94,186.4,179.75,179.75,16927085.0
2015-01-16,186.11,187.24,182.33,184.03,19136963.0
2015-01-19,188.23,189.59,183.76,186.21,13339962.0
2015-01-20,193.24,193.78,188.06,188.63,13361320.0
2015-01-21,194.03,195.03,190.89,193.66,17084297.0
2015-01-22,189.11,194.13,188.2,193.69,23721627.0
2015-01-23,189.79,192.12,187.67,190.45,18080494.0
2015-01-27,190.25,191.88,188.42,191.07,17939876.0
2015-01-28,194.05,194.69,189.61,189.61,19298126.0
2015-01-29,198.88,199.97,194.07,194.11,36117653.0
2015-01-30,195.85,199.28,194.51,199.01,21746801.0
2015-02-02,194.31,196.85,193.81,196.02,19302710.0
2015-02-03,200.64,201.33,195.41,195.41,17092333.0
2015-02-04,198.75,201.96,198.13,200.96,14072894.0
2015-02-05,197.66,201.13,196.36,200.29,12365643.0
2015-02-06,194.71,199.01,193.23,197.75,9045844.0
2015-02-09,191.88,196.44,190.88,192.85,8839692.0
2015-02-10,188.74,193.55,184.31,192.16,13651008.0
2015-02-11,192.74,193.61,188.95,189.59,9781008.0
2015-02-12,194.55,195.57,189.86,194.3,8709626.0
2015-02-13,196.33,197.04,194.53,195.58,7393680.0
2015-02-16,193.19,197.77,192.59,196.59,12266698.0
2015-02-18,192.94,194.3,191.39,192.59,9835036.0
2015-02-19,193.03,194.22,189.92,194.08,9550637.0
2015-02-20,186.83,191.73,186.45,191.57,18717199.0
2015-02-23,182.2,187.61,181.27,186.16,14104463.0
2015-02-24,180.06,183.34,179.11,182.8,19946218.0
2015-02-25,180.42,183.28,179.97,181.63,15274116.0
2015-02-26,180.18,181.89,179.02,181.06,21459750.0
2015-02-27,183.08,184.24,180.73,181.37,18659378.0
2015-03-02,184.94,187.35,183.08,185.96,14579511.0
2015-03-03,192.76,193.97,185.61,185.96,20636925.0
2015-03-04,189.99,194.65,188.32,193.87,14476047.0
2015-03-05,189.37,192.32,187.91,190.98,10716702.0
2015-03-09,186.09,190.82,184.92,189.4,14065391.0
2015-03-10,183.85,187.41,183.05,185.94,15234060.0
2015-03-11,183.16,186.08,182.4,184.23,11635873.0
2015-03-12,184.84,185.61,183.09,183.6,11782380.0
2015-03-13,181.91,186.08,181.25,185.96,12936157.0
2015-03-16,180.2,182.73,179.81,182.21,13839990.0
2015-03-17,183.36,184.01,179.96,182.01,19070082.0
2015-03-18,185.88,186.65,182.9,183.39,9269885.0
2015-03-19,183.21,187.6,182.77,187.36,13934612.0
2015-03-20,182.77,184.28,181.59,183.58,10405717.0
2015-03-23,180.17,184.89,179.34,183.28,13251683.0
2015-03-24,181.45,182.81,180.2,180.2,9238431.0
2015-03-25,180.8,181.78,179.96,181.68,10264941.0
2015-03-26,177.46,181.73,176.35,179.99,20621346.0
2015-03-27,173.69,178.68,171.5,178.44,23326922.0
2015-03-30,173.49,174.98,170.43,174.74,17330588.0
2015-03-31,176.75,178.23,175.04,175.04,20235395.0
