Date,Close,High,Low,Open,Volume
2022-02-04,60.96,60.96,60.96,60.96,0
2022-02-07,61.77,64.34,59.44,60.0,208834
2022-02-08,62.28,63.0,61.55,62.0,65666
2022-02-09,62.77,63.0,62.01,62.5,156227
2022-02-10,62.8,64.9,62.2,63.0,341078
2022-02-11,62.36,62.98,62.02,62.98,670996
2022-02-14,64.09,66.4,62.4,62.4,755940
2022-02-15,63.19,64.69,63.1,64.2,998503
2022-02-16,63.24,63.39,62.85,63.3,257824
2022-02-17,63.87,64.39,63.1,64.0,366056
2022-02-18,63.79,64.49,63.61,64.0,479087
2022-02-21,63.42,63.99,63.25,63.99,174108
2022-02-22,64.29,64.55,63.5,63.5,482154
2022-02-23,64.08,64.45,64.0,64.29,518105
2022-02-24,66.98,67.49,64.15,64.15,851371
2022-02-25,64.68,66.98,64.51,66.98,473542
2022-02-28,64.85,65.68,64.7,65.0,278819
2022-03-02,67.09,67.38,66.6,66.6,671240
2022-03-03,67.48,68.0,67.03,67.3,278653
2022-03-04,67.52,67.99,67.22,67.6,572952
2022-03-07,70.37,70.9,67.6,67.6,2521109
2022-03-08,70.56,71.97,69.1,71.2,1555427
2022-03-09,70.65,74.0,70.13,71.58,3069502
2022-03-10,68.5,69.7,67.5,68.5,1852430
2022-03-11,69.47,69.95,68.7,68.7,450947
2022-03-14,68.49,69.99,67.9,69.99,766744
2022-03-15,66.96,68.0,66.89,68.0,1206446
2022-03-16,67.14,67.2,66.87,66.96,421069
2022-03-17,67.55,68.25,67.2,68.25,498307
2022-03-21,67.35,67.75,67.02,67.75,495028
2022-03-22,67.47,68.49,67.27,67.8,901527
2022-03-23,67.34,67.4,66.7,67.3,705057
2022-03-24,67.52,67.88,67.3,67.8,180506
2022-03-25,68.6,68.68,67.8,67.8,973088
2022-03-28,67.35,68.19,67.0,67.0,482797
2022-03-29,66.39,67.5,66.32,67.5,709264
2022-03-30,66.65,66.87,66.25,66.66,296240
2022-03-31,66.3,66.68,65.81,66.65,1513326
2022-04-01,66.72,66.96,66.55,66.6,290914
2022-04-04,66.54,66.98,66.0,66.98,563048
2022-04-05,66.15,66.5,65.9,66.5,587450
2022-04-06,65.98,66.05,65.46,66.0,448926
2022-04-07,66.04,66.5,65.71,66.25,490405
2022-04-08,66.48,66.55,66.06,66.38,268062
2022-04-11,67.35,67.45,66.4,66.69,316116
2022-04-12,67.4,68.0,67.26,68.0,915728
2022-04-13,69.0,69.15,67.8,67.8,812052
2022-04-18,69.62,69.99,68.31,68.31,940469
2022-04-19,69.6,69.98,69.31,69.88,579141
2022-04-20,68.06,69.18,67.86,69.18,707140
2022-04-21,67.46,68.2,67.35,68.2,581100
2022-04-22,66.33,67.83,66.15,67.83,1233175
2022-04-25,65.31,66.33,65.2,66.33,1237896
2022-04-26,65.42,65.68,65.01,65.6,774433
2022-04-27,64.98,70.49,64.64,65.6,488290
2022-04-28,64.25,64.98,63.75,64.98,809968
2022-04-29,64.57,64.8,64.21,64.4,798571
2022-05-02,62.83,64.45,62.55,64.45,1779659
2022-05-04,62.63,62.79,62.35,62.5,720146
2022-05-05,63.35,64.0,62.7,62.7,519360
2022-05-06,62.49,63.34,62.02,63.34,799198
2022-05-09,61.98,64.01,61.85,64.01,522812
2022-05-10,61.64,62.29,61.38,62.29,451137
2022-05-11,61.36,61.5,60.21,61.5,553283
2022-05-12,59.99,61.36,59.89,61.36,2005985
2022-05-13,59.14,59.99,58.75,59.99,974549
2022-05-16,59.98,60.2,59.41,59.5,439978
2022-05-17,61.38,61.5,60.4,60.4,438564
2022-05-18,61.18,61.99,60.55,61.38,562662
2022-05-19,60.58,61.99,60.12,61.3,564481
2022-05-20,61.9,64.96,61.26,61.99,325362
2022-05-23,62.02,63.69,61.1,63.4,325340
2022-05-24,61.36,61.57,60.96,61.45,638967
2022-05-25,61.44,61.9,61.36,61.72,371250
2022-05-26,61.12,61.38,61.02,61.2,263459
2022-05-27,62.21,62.8,61.4,61.4,311278
2022-05-30,61.79,62.49,61.71,62.19,248188
2022-05-31,61.33,61.74,61.1,61.74,264299
2022-06-01,60.42,64.8,60.3,64.8,566304
2022-06-02,61.61,64.8,61.01,64.8,198732
2022-06-03,62.13,62.35,61.99,61.99,302129
2022-06-06,62.18,62.29,61.61,62.2,248048
2022-06-07,61.6,62.0,61.31,62.0,301947
2022-06-08,61.71,62.08,61.65,61.66,232089
2022-06-09,61.56,61.97,61.5,61.72,174969
2022-06-10,60.57,61.02,60.52,60.99,677557
2022-06-13,60.69,61.38,60.59,61.38,545683
2022-06-14,59.77,64.8,59.71,64.8,741242
2022-06-15,60.46,60.6,59.72,60.0,319059
2022-06-16,60.71,61.24,60.5,61.24,370200
2022-06-17,61.32,61.45,60.5,60.5,760123
2022-06-20,60.85,61.1,60.65,61.1,260083
2022-06-21,60.91,61.15,60.55,61.15,99039
2022-06-22,60.29,60.6,60.01,60.01,266482
2022-06-23,60.05,60.39,60.0,60.24,166627
2022-06-24,59.33,60.05,59.12,60.05,583796
2022-06-27,60.58,60.65,59.6,59.6,553572
2022-06-28,60.36,60.41,59.82,60.3,152654
2022-06-29,59.3,59.88,59.21,59.88,589890
2022-06-30,58.97,59.38,58.91,59.31,472964
2022-07-01,57.97,59.6,57.9,59.0,890405
2022-07-04,58.01,58.94,57.7,58.9,592728
2022-07-05,58.26,58.8,58.15,58.2,400340
2022-07-06,57.35,64.5,56.47,64.5,956634
2022-07-07,57.27,68.0,56.95,57.45,1028593
2022-07-08,56.69,57.94,56.53,57.9,1295185
2022-07-11,56.8,57.09,56.5,56.5,891533
2022-07-12,56.18,57.8,56.15,57.8,929824
2022-07-13,56.28,57.0,56.15,57.0,397215
2022-07-14,56.02,56.7,55.98,56.7,819439
2022-07-15,54.68,55.75,54.26,55.75,1238023
2022-07-18,55.91,55.98,55.51,55.9,583258
2022-07-19,55.58,55.69,55.2,55.2,652829
2022-07-20,55.61,56.98,55.32,56.98,514092
2022-07-21,54.39,55.25,54.3,55.25,1691298
2022-07-22,55.17,55.6,54.91,55.11,550622
2022-07-25,54.85,54.99,54.6,54.99,797712
2022-07-26,54.29,54.55,54.26,54.45,1260496
2022-07-27,54.65,54.79,54.27,54.29,609442
2022-07-28,56.05,56.37,55.25,55.25,1294772
2022-07-29,57.4,57.9,56.2,56.2,1732405
2022-08-01,57.95,58.04,57.42,57.6,545276
2022-08-02,57.49,57.9,57.32,57.7,686348
2022-08-03,56.89,57.2,56.72,57.05,757072
2022-08-04,57.83,57.9,57.0,57.0,690683
2022-08-05,57.37,57.9,57.32,57.9,440322
2022-08-08,57.69,57.79,57.02,57.1,765007
2022-08-10,58.36,58.51,57.8,57.8,610760
2022-08-11,58.48,58.66,58.15,58.2,450696
2022-08-12,58.12,58.6,58.01,58.5,546889
2022-08-16,57.67,58.1,57.57,58.1,966114
2022-08-17,57.36,58.09,57.25,57.8,902734
2022-08-18,56.91,57.29,56.6,57.11,1010924
2022-08-19,55.67,56.6,55.5,56.5,2181948
2022-08-22,54.91,55.6,54.83,55.4,2039976
2022-08-23,55.12,55.3,54.83,54.99,1419927
2022-08-24,55.3,55.47,55.12,55.45,647181
2022-08-25,55.83,55.95,55.41,55.5,844094
2022-08-26,55.56,55.88,55.42,55.75,1177008
2022-08-29,54.37,55.56,54.23,55.56,2499958
2022-08-30,54.36,59.8,54.26,59.8,2468165
2022-09-01,52.27,54.5,52.1,54.0,7131358
2022-09-02,52.74,53.0,52.51,52.6,2415510
2022-09-05,53.42,53.49,52.82,53.0,1134409
2022-09-06,53.66,53.9,53.51,53.79,1836308
2022-09-07,53.26,53.38,52.6,53.26,2193324
2022-09-08,54.0,54.1,53.59,53.59,1746372
2022-09-09,54.55,54.62,54.31,54.5,1659339
2022-09-12,55.53,55.6,54.58,54.69,1383131
2022-09-13,56.74,56.84,55.67,55.67,2295131
2022-09-14,56.19,56.25,55.75,55.89,1072002
2022-09-15,56.22,56.4,55.9,56.4,534356
2022-09-16,54.98,55.89,54.61,55.74,1718739
2022-09-19,55.91,56.39,55.5,55.5,683189
2022-09-20,55.98,56.37,55.92,56.2,533220
2022-09-21,56.39,56.48,55.73,55.99,1288694
2022-09-22,57.14,57.22,56.24,56.39,1686839
2022-09-23,56.54,57.44,56.43,57.35,902307
2022-09-26,55.26,55.48,53.0,53.0,2234716
2022-09-27,55.04,55.35,54.62,54.94,923728
2022-09-28,54.02,54.9,53.92,54.9,1530786
2022-09-29,55.43,55.6,54.5,54.5,1149251
2022-09-30,56.12,56.35,55.42,55.7,1020843
2022-10-03,56.88,57.2,56.3,56.3,1335269
2022-10-04,60.22,60.6,58.91,58.91,5665572
2022-10-06,59.83,60.4,46.15,59.51,1768191
2022-10-07,60.49,60.64,60.2,60.41,1295474
2022-10-10,58.25,61.0,58.0,61.0,2216039
2022-10-11,57.22,57.98,57.11,57.98,1044405
2022-10-12,57.15,57.2,56.73,56.94,892594
2022-10-13,56.88,56.98,56.47,56.9,1873536
2022-10-14,55.82,56.74,55.7,56.58,2241901
2022-10-17,55.52,60.99,54.99,56.0,2747859
2022-10-18,55.86,56.28,55.62,55.98,1610688
2022-10-19,55.71,56.14,55.42,56.0,1052919
2022-10-20,55.81,55.92,55.24,55.25,796641
2022-10-21,55.35,55.99,55.25,55.98,2987728
2022-10-24,56.93,57.05,56.25,57.01,1285301
2022-10-25,56.52,57.18,56.32,56.95,1327449
2022-10-27,57.37,59.99,57.25,59.99,1786452
2022-10-28,57.21,57.85,57.1,57.76,1275259
2022-10-31,57.11,57.3,56.75,57.25,1413676
2022-11-01,58.42,58.57,57.49,57.69,2627978
2022-11-02,58.37,58.59,58.25,58.31,997288
2022-11-03,56.98,58.37,56.87,58.37,2268065
2022-11-04,58.32,58.42,57.49,57.49,1849262
2022-11-07,59.97,60.09,59.21,59.62,3602733
2022-11-09,60.73,61.8,60.46,60.9,2843550
2022-11-10,60.56,60.73,60.0,60.73,1306491
2022-11-11,61.58,62.21,60.91,62.21,2853016
2022-11-14,61.15,61.58,60.9,61.45,1374642
2022-11-15,61.78,62.05,61.5,61.5,1495311
2022-11-16,61.56,61.7,61.0,61.5,1435553
2022-11-17,60.58,60.97,60.53,60.83,1205090
2022-11-18,60.82,60.9,60.49,60.84,823261
2022-11-21,59.93,61.82,59.85,61.82,1532697
2022-11-22,60.81,60.92,60.4,60.4,1202865
