Date,Close,High,Low,Open,Volume
2005-10-19,125.38,126.44,105.0,115.63,165674924
2005-10-20,117.06,128.08,115.27,126.85,42559284
2005-10-21,121.94,125.77,114.96,114.96,27905407
2005-10-24,118.34,124.86,117.32,124.32,12115977
2005-10-25,119.29,120.09,116.05,116.05,6883226
2005-10-26,124.48,125.19,117.69,119.42,14763672
2005-10-27,122.3,127.34,119.65,124.66,14679318
2005-10-28,118.65,121.79,117.69,121.24,5724177
2005-10-31,129.31,130.29,118.71,120.34,13075601
2005-11-02,133.39,134.16,123.92,128.48,17741796
2005-11-04,133.39,133.39,133.39,133.39,0
2005-11-07,131.26,138.42,128.54,133.91,14304481
2005-11-08,138.19,143.32,131.65,132.79,16727854
2005-11-09,135.1,142.24,133.87,137.53,15138922
2005-11-10,137.89,139.47,135.09,136.26,9248111
2005-11-11,140.37,141.86,138.07,138.25,8341432
2005-11-14,136.14,140.95,135.72,140.04,6899660
2005-11-16,135.98,142.78,135.37,142.78,4852746
2005-11-17,138.22,140.21,135.72,136.65,6421439
2005-11-18,136.79,140.43,136.08,138.44,4144948
2005-11-21,134.65,138.57,133.91,136.99,5227795
2005-11-22,132.42,135.88,131.78,134.45,5443458
2005-11-23,133.99,134.96,131.38,133.47,4137243
2005-11-24,134.48,136.63,133.73,134.82,6028349
2005-11-25,137.37,137.98,135.18,135.7,5894965
2005-11-28,148.62,149.24,140.43,140.79,10613942
2005-11-29,154.98,156.53,149.29,149.29,16524057
2005-11-30,154.05,160.67,152.49,155.66,15802830
2005-12-01,156.3,159.23,153.55,159.23,7451198
2005-12-02,151.58,158.25,150.79,158.11,5566926
2005-12-05,152.95,154.52,151.63,153.04,3532352
2005-12-06,148.68,154.6,148.12,154.6,4661157
2005-12-07,147.41,151.43,145.5,150.2,7496967
2005-12-08,149.64,150.52,147.51,148.15,4152234
2005-12-09,161.13,162.86,150.02,150.2,13388290
2005-12-12,164.1,169.87,157.8,161.06,25723519
2005-12-13,165.15,167.64,163.05,163.05,9002422
2005-12-14,169.09,171.37,163.77,165.29,14486961
2005-12-15,163.35,171.88,160.71,169.43,10330217
2005-12-16,167.11,168.28,163.62,165.56,5923434
2005-12-19,166.48,170.28,164.67,167.75,5913229
2005-12-20,163.5,168.54,162.23,166.85,7132161
2005-12-21,162.67,165.85,161.07,165.85,4411243
2005-12-22,159.79,164.13,158.56,163.77,4321029
2005-12-23,158.72,161.56,157.98,160.68,3219418
2005-12-26,155.32,160.22,154.18,160.22,2831518
2005-12-27,161.46,162.09,153.09,155.63,3827942
2005-12-28,160.22,164.07,159.63,162.34,3655809
2005-12-29,158.53,164.13,157.8,164.13,3430061
2005-12-30,161.9,163.59,159.25,159.61,2757597
2006-01-02,162.15,163.77,160.91,162.86,1789201
2006-01-03,162.23,163.77,161.78,162.86,1161608
2006-01-04,163.47,165.66,162.27,163.41,2140334
2006-01-05,162.77,164.67,161.77,164.03,2042350
2006-01-06,160.41,164.31,159.88,163.95,1535388
2006-01-09,161.22,163.95,160.33,163.77,2399304
2006-01-10,156.28,161.94,155.65,160.69,1161423
2006-01-12,150.61,156.12,147.48,155.45,3846739
2006-01-13,155.92,157.78,149.29,155.59,5089472
2006-01-16,156.77,159.21,152.56,157.26,3142039
2006-01-17,157.73,158.86,154.72,157.8,1926283
2006-01-18,158.76,160.15,142.42,148.67,2167708
2006-01-19,162.54,163.95,158.88,158.88,1991959
2006-01-20,166.37,167.39,162.32,163.77,3241940
2006-01-23,165.85,168.28,162.86,165.02,1506560
2006-01-24,169.72,171.01,166.13,166.13,2508854
2006-01-25,176.69,179.68,170.1,170.1,3584082
2006-01-27,203.96,207.74,178.25,178.25,10713292
2006-01-30,194.74,209.79,186.57,206.3,12341812
2006-01-31,211.24,215.71,194.77,197.25,14969038
2006-02-01,198.75,210.4,196.94,209.19,10011005
2006-02-02,199.69,206.62,197.27,199.24,6280801
2006-02-03,192.27,201.99,191.35,201.32,5471785
2006-02-06,193.25,197.51,190.44,192.62,4167155
2006-02-07,199.84,201.14,194.12,196.61,6971528
2006-02-08,196.34,200.42,192.25,200.05,3214719
2006-02-10,198.52,201.09,195.7,197.7,2943262
2006-02-13,198.85,201.69,196.06,198.6,2082951
2006-02-14,197.81,204.9,196.79,199.51,2754161
2006-02-15,193.41,201.32,192.25,200.23,3886801
2006-02-16,192.72,195.7,191.89,195.52,1167995
2006-02-17,185.96,194.43,185.0,192.25,1327163
2006-02-20,188.28,188.72,180.15,185.72,2602214
2006-02-21,187.66,189.9,186.81,188.63,1204882
2006-02-22,185.88,188.63,184.64,188.08,941131
2006-02-23,187.75,194.06,183.91,187.54,4923068
2006-02-24,193.52,194.79,187.9,190.26,3269483
2006-02-27,196.85,198.2,193.34,194.79,2194063
