Date,Open,High,Low,Close,Volume
2015-01-01,997.21,997.21,987.11,988.88,366830
2015-01-02,991.0,1006.52,990.84,1002.05,925740
2015-01-05,1002.65,1009.99,980.76,986.82,1754242
2015-01-06,982.49,982.49,947.88,950.44,2423784
2015-01-07,959.53,963.09,935.23,939.21,2636332
2015-01-08,948.81,951.37,940.32,949.35,1565408
2015-01-09,953.7,978.92,951.76,975.96,3197642
2015-01-12,977.79,982.06,963.51,974.95,1596006
2015-01-13,978.95,982.99,963.45,970.37,1468432
2015-01-14,977.4,983.54,971.38,979.71,1787096
2015-01-15,984.0,1002.94,980.22,986.37,5009920
2015-01-16,988.16,988.67,965.09,983.67,5293830
2015-01-19,985.17,991.0,972.35,975.46,1135074
2015-01-20,978.95,982.84,964.68,971.36,2058566
2015-01-21,979.73,979.73,966.62,976.55,2310480
2015-01-22,977.59,979.44,969.44,976.45,2113214
2015-01-23,976.62,983.64,969.67,972.58,3150380
2015-01-27,977.94,978.97,969.06,973.93,2738736
2015-01-28,974.3,990.61,974.26,988.54,3121980
2015-01-29,987.92,999.87,978.15,990.51,3734392
2015-01-30,996.76,1002.32,961.45,966.14,5817402
2015-02-02,966.12,981.48,958.36,978.66,3181802
2015-02-03,977.66,998.43,975.89,995.8,2345054
2015-02-04,999.6,1001.04,973.95,978.69,2245418
2015-02-05,980.91,1008.82,980.52,993.52,4530168
2015-02-06,993.76,1010.03,992.92,1002.61,2136416
2015-02-09,997.07,1000.03,973.13,978.15,2076432
2015-02-10,977.02,983.35,947.05,950.22,3799054
2015-02-11,955.63,968.17,952.6,957.52,2937522
2015-02-12,965.27,965.27,952.5,958.4,3107980
2015-02-13,961.45,991.71,957.66,988.21,4158326
2015-02-16,996.48,1010.11,994.54,1006.14,2364392
2015-02-18,1006.23,1028.79,998.53,1025.93,2660014
2015-02-19,1026.07,1046.04,1025.68,1043.6,2618002
2015-02-20,1050.51,1050.51,1028.5,1041.46,1801588
2015-02-23,1039.69,1059.54,1039.69,1049.67,1614892
2015-02-24,1048.64,1062.66,1042.8,1052.83,2199922
2015-02-25,1054.87,1059.54,1038.46,1040.16,1767994
2015-02-26,1042.8,1048.16,1021.92,1034.03,1991994
2015-02-27,1035.19,1041.54,1018.4,1036.32,2877376
2015-03-02,1043.08,1054.46,1032.51,1039.07,2176038
2015-03-03,1043.97,1086.01,1041.69,1080.56,3424308
2015-03-04,1085.23,1094.61,1057.07,1068.88,3862994
2015-03-05,1070.44,1078.5,1043.6,1049.6,2173514
2015-03-09,1027.62,1043.12,1015.95,1030.27,2883174
2015-03-10,1031.09,1042.51,1010.2,1028.67,3037052
2015-03-11,1028.4,1035.39,1011.2,1014.6,2240200
2015-03-12,1021.36,1021.75,1008.2,1019.47,1827636
2015-03-13,1026.84,1027.6,1002.32,1005.18,1586838
2015-03-16,1006.29,1015.95,993.37,997.38,1556296
2015-03-17,1005.24,1014.66,995.61,1005.71,1267318
2015-03-18,1008.53,1011.84,993.25,996.23,1255170
2015-03-19,1002.71,1014.33,999.64,1010.59,2448964
2015-03-20,1010.5,1019.06,1003.82,1016.32,1963908
2015-03-23,1018.28,1024.12,1014.39,1018.73,1566608
2015-03-24,1023.73,1026.46,1005.09,1008.67,2394878
2015-03-25,1008.71,1017.5,990.72,1001.84,2224858
2015-03-26,993.88,1006.88,973.52,978.23,3091642
2015-03-27,985.19,1001.12,974.72,978.89,2751776
2015-03-30,982.86,1000.34,980.91,998.1,1339006
2015-03-31,1000.16,1000.16,981.3,994.13,2427028
2015-04-01,995.7,997.88,981.79,989.73,2075758
2015-04-06,995.7,997.61,973.17,991.54,1568542
2015-04-07,997.44,1011.66,990.26,1006.21,1886922
2015-04-08,1009.72,1034.05,1008.49,1028.17,1652134
2015-04-09,1035.02,1046.09,1025.74,1037.18,2544450
2015-04-10,1030.93,1039.61,1022.95,1032.98,1815544
2015-04-13,1036.97,1037.35,1022.95,1033.66,1308642
2015-04-15,1033.35,1056.39,1015.71,1022.86,2913934
2015-04-16,1022.54,1022.56,1000.9,1005.36,3217570
2015-04-17,995.35,996.48,961.45,963.34,9668742
2015-04-20,965.36,966.86,943.88,945.41,2890722
2015-04-21,945.41,954.44,934.59,944.73,2546032
2015-04-22,946.46,962.62,937.14,951.76,4186812
2015-04-23,962.23,965.27,946.54,956.49,4342990
2015-04-24,955.73,978.58,952.71,970.42,3625158
2015-04-27,972.93,980.91,967.68,973.21,2733052
2015-04-28,977.02,977.02,955.65,971.18,3088298
2015-04-29,966.9,971.18,954.07,968.18,2019620
